Violations_Numbers
""
""
"[8, 11, 18]"
"[34, 35]"
"[18, 31, 34, 38, 41]"
"[2, 11, 21, 22, 30, 32, 33, 34, 35, 37, 38, 41]"
"[2, 3, 29, 32, 33, 35, 38]"
"[12, 18, 21, 29, 30, 31, 32, 33, 34, 35, 38, 41]"
"[18, 19, 21, 22, 32, 33, 34, 35, 38, 41, 43, 45]"
""
"[2, 11, 32]"
"[34, 40]"
"[2, 3, 6, 12, 13, 16, 30, 32, 33, 34, 35, 36, 38, 41]"
"[32, 36, 45]"
"[30, 32, 34, 35, 38]"
"[18, 34, 38]"
""
"[16, 21]"
"[33, 34, 37, 38]"
"[14, 24, 32, 33, 34, 35, 41]"
""
""
"[32, 33, 34, 40]"
""
"[31, 35, 38]"
"[16, 28, 32, 43, 45]"
"[2, 16, 32]"
"[33, 36]"
"[2, 3, 11, 12, 31, 32, 33, 34, 35, 38]"
""
""
"[16, 18, 19, 22, 32, 33, 34, 35, 41]"
"[32, 34, 38, 40, 41]"
""
"[32, 34, 35, 41]"
"[32, 33, 38]"
"[11, 21, 33, 38, 41]"
[40]
"[2, 11, 18, 38]"
"[18, 33, 34, 35, 38, 41]"
"[32, 38, 41]"
""
"[18, 19]"
""
""
""
"[35, 38, 43]"
[35]
""
"[11, 18, 21, 22, 24, 32, 35, 38, 40, 45]"
"[12, 19, 33, 34, 35, 38, 41]"
""
"[11, 34]"
[9]
"[2, 34]"
"[32, 34, 36, 40, 41]"
"[3, 36]"
""
"[24, 32, 33, 34, 35]"
""
""
"[18, 32, 36, 38]"
""
""
"[18, 21, 28, 29, 32, 33, 34, 35, 36, 38]"
"[16, 18, 19, 33, 34, 35]"
[38]
"[2, 16, 35, 36]"
"[33, 34, 40, 41]"
"[30, 33]"
"[1, 38]"
"[35, 36, 38]"
[38]
"[11, 32, 33, 34, 38, 41, 45]"
"[14, 33, 34, 35, 38, 41, 45]"
"[18, 32, 33, 34, 35, 38, 41]"
"[32, 33, 35, 36, 38, 43]"
"[33, 34, 35]"
"[2, 16, 18, 19, 22]"
"[30, 32, 33, 34, 35, 42]"
""
"[33, 35]"
"[2, 30, 31, 32, 33, 34, 35, 36, 38, 40, 42]"
"[32, 38, 42]"
"[33, 35]"
"[11, 19, 38, 41]"
"[18, 32, 33, 34, 38, 41]"
"[18, 30, 32, 33, 34, 35, 36]"
""
"[35, 38, 41]"
""
""
"[29, 32, 33, 34, 35, 38, 40, 45]"
"[18, 19]"
[33]
""
""
"[18, 22, 30, 32, 33, 34, 35, 36, 41, 42]"
""
"[18, 32, 35, 38, 41]"
"[18, 33, 34, 35, 38, 41, 42]"
""
"[18, 21, 35]"
"[8, 11, 12, 18, 32, 34, 35, 38, 42, 45]"
""
"[32, 41, 43]"
"[11, 33, 45]"
[44]
"[14, 18, 29, 30, 32, 35, 40, 45]"
""
"[2, 9, 18, 21]"
"[16, 18, 32, 35, 36, 38]"
"[34, 35]"
"[18, 33, 34, 38, 40]"
"[14, 32, 33]"
""
"[13, 22, 29, 33, 34, 35, 38]"
[22]
"[16, 18, 32, 34, 35, 37, 38, 41]"
"[34, 38]"
"[18, 19, 21, 22, 32, 33, 34, 35]"
